Title,Company,Expereince,Salary,Location,Qualification,Posted
Data Architect,Hexaware Technologies,13-20 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Should be able to define modern data eco system, considering current and futuristic dat...",12 Days Ago
Immediate Job Opening For Workday Functional - Hexaware Technologies,Hexaware Technologies,8-13 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Certified in Workday HCM is preferred Should have experience in Application Support Goo...,12 Days Ago
Data Modeler,Capgemini,10-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"," Good to have experience with various relational databases like Postgres / MySQL, MPP da...",13 Days Ago
Servicenow ITSM Developer,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru", Review the work done by team members as per ServiceNow best practices . Primary Skills ...,13 Days Ago
React JS Professional,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru", Strong knowledge of web architecture / design and web best practices RequiredExperience...,13 Days Ago
Assistant Manager- Sales ( Ocean/ Air Freight),Delhivery,2-7 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/Bengaluru, Mumbai (All Areas)", Build a strong client relationship to ensure that the account performs and grows to its...,12 Days Ago
Endpoint Management Professional,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", 5+ years experience working with PC/Mac infrastructure as an engineer level SCCM & Intu...,15 Days Ago
ELK Implementer /Administrator,Capgemini,9-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Work directly with application development and support teams to gather requirements and...,10 Days Ago
Senior Applications Consultant,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Kibana plugins Exposure to other APM tools Appdynamics Dynatrace Nagios etc Trained exp...,10 Days Ago
Sr. SAP SD Consultant ( 4- 10 Years ),Allegis Group,4-9 Yrs,Not disclosed,"Bhubaneswar, Pune, Ahmedabad, Bangalore/Bengaluru, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech Passout Experience: 4 to 12 Loc...,10 Days Ago
Python Developer Lead,Hexaware Technologies,8-13 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Good problem solving and influencing skills. Expert python technical architect (8+ year...,1 Day Ago
CSE Bulk Hiring-bangalore,2coms,0-5 Yrs,"60,000-3 Lacs PA","Hyderabad/Secunderabad, Bangalore North", Education Required: Any Graduation. Exp- should have customer support exp Landugae- sho...,1 Day Ago
Hiring For Relationship Manager- Wealth Channel,Kotak Life Insurance,3-6 Yrs,4-6 Lacs PA,"Thane, Maharashtra, Pune, Maharashtra, Ahmedabad, Gujarat, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", *Attractive incentives . Desired candidate profile: . - Must be a graduate. . - Must ha...,2 Days Ago
Sr Mgr - CV P&SC IT Digital Marketing,Tata Motors Finance,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Graduation Preferred Industry Working Knowledge Working understanding of Digital IT lic...,30+ Days Ago
SMTE - Labcar & HILS,Tata Motors Finance,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience in automotive electrical system development / validation Labview and Matlab ...,30+ Days Ago
Senior Manager(L5)_Safety,Tata Motors Finance,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Brief Role Description ECU Senior Manager is responsible for development of Safety and ...,30+ Days Ago
Senior Manager(L5) - Std- Customer Support Manager,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", 3-7 years of experience in a technical and / or customer servicing role preferably in a...,30+ Days Ago
Senior Manager(L5) - Maintenance BIW,Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering in Electrical Experience : Minimum 5 Years of Industry experien...,30+ Days Ago
Senior Manager(L5),Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience : Minimum 5 Years of Industry experience-BIW Maintenance .,30+ Days Ago
Senior Manager (L5) - Plant Quality (Powertrain),Tata Motors Finance,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Work Experience . Tata Motors Leadership Competencies,30+ Days Ago
Senior Manager (L5) - Engineer C&C,Tata Motors Finance,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Minimum Qualification Specialization (e.gDomain Knowledge : Must have : Vehicle aggrega...,30+ Days Ago
EV - Product Specialist,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Ensure EV customers have a differentiated customer experience that dealerships / stores...,30+ Days Ago
"Senior Manager- Interior Trims, B&T",Tata Motors Finance,8-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," and tooling requirements, manufacturing processes and moulding processes. Good working ...",30+ Days Ago
Senior Manager (L5) - Engineer Vehicle Integration HCV,Tata Motors Finance,8-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Education Graduation in Engineering Relevant Experience : 8+ years in product developme...,30+ Days Ago
Customer Support Manager-PVBU,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", B Tech in Automobile or Mechanical Minimum 3 years of experience in Automobile industry...,30+ Days Ago
Assistant Manager - Detailed Engineering (Mech),Tata Chemicals,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Responsible for in house designing and detailing for execution of new projects, expansi...",30+ Days Ago
Assistant Manager - Detailed Engineering (Civil),Tata Chemicals,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Education Requirements . : BE - Civil, Post - Graduation in structur...",30+ Days Ago
CN - Strategy - MC - CFO EV - EP Management - EPM - Manager,Accenture,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"," Candidate should be self-motivated with strong analytical, problem solving, interperson...",25 Days Ago
Coach Cust Svc,Sykes,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Should exhibit People Management Skills. Should be aware of the various Operations and ...,7 Days Ago
Digital Solutions - Jira Admin,TELUS International,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Skills Required . Groovy Scripting using Script Runner Add-on . Jira Software, Jira Ser...",7 Days Ago
Sr DevOps,Photon,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," . Job Requirement . Exert technical influence over multiple teams, increasing their pro...",8 Days Ago
Senior Manager (L5) - Cost Engineering Delivery,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Cost Engineer is responsible to develop part level target costing, prepare detailed sho...",30+ Days Ago
Charging Regional Manager - East,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Education Graduate (graduation degree in electrical / electronics preferred) with prefe...,30+ Days Ago
Senior Statistical Programming,Cytel,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Create programs to create graphs and tables that are required in CSRs, safety reports, ...",9 Days Ago
Sr. Front-End Developer,Fareportal,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Ability to work and thrive in a fast-paced environment, learn rapidly and master divers...",9 Days Ago
Devops Engineer,Fareportal,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience in designing and maintaining cloud-based solutions with Azure / AWS . Experi...,9 Days Ago
Python Backend Developer (PAN India) - MC,Tech Mahindra,7-12 Yrs,22.5-25 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Shift Timings General Shift . Mode - Hybrid Years of Experience - 7+ years . Notice Per...,30+ Days Ago
Coach Cust Svc-Ally Professional,Foundever,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Minimum Graduate (Any Bachelor s Degree) . Should exhibit People Management Skills . Sh...,30+ Days Ago
Buyer - E&E / Sr. Manager,Tata Motors Finance,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering in Mechanical Engineering or Electrical . Work Experience . Tat...,30+ Days Ago
Sales Officer,Godrej Industries,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Further to organize and maintain an effective admin system which includes Customer Reco...,2 Days Ago
Senior statistical programmer,Cytel,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Experience: . Bachelors or Masterss degree in Computer Science, Stat...",11 Days Ago
"A&MS Layout Design Engr, Sr I",Synopsys,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Automation focused and forward-looking thought process . Sound knowledge of custom Anal...,11 Days Ago
"A&MS Circuit Design Engr, Sr I",Synopsys,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", This individual should have strong technical experience in full custom analog / mixed-s...,11 Days Ago
Scheduler Analyst - Workforce Management,TELUS International,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," staffing projections, scheduling, service level analysis, metrics monitoring) . Verint ...",11 Days Ago
Personalized Internet Assessor India (Punjabi Language),TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," You should also be flexible, reliable and have the ability to interpret and follow esta...",30+ Days Ago
Personalized Internet Ads Assessor Tamil Language,TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . You must be living in India for the last 3 consecutive years You must have familiarit...,30+ Days Ago
Personalized Internet Ads Assessor English Language,TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . You must be living in India for the last 3 consecutive years You must have familiarit...,30+ Days Ago
Personalized Internet Ads Assessor Bengali Language,TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . You must be living in India for the last 3 consecutive years You must have familiarit...,30+ Days Ago
Media Search Analyst - English Language,TELUS International,0-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Preferred level of education / certification - High School degree or higher . Further o...,30+ Days Ago
Field Sales Executive,Rentokil PCI,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", To provide reports as per the requirementSales experience of a minimum 1 year experienc...,12 Days Ago
Design Engineer,Info Edge,3-5 Yrs,Not disclosed,"Kolkata, Mumbai Suburban, Maharashtra, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Jainagar, Bihar", Specify system components or direct modification of products : . Should be conversant w...,13 Days Ago
Data Architect,Capco,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Data Architect should have a strong technical background in data architecture and manag...,30+ Days Ago
Business Analyst,Capco,7-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Technical skills Required: . . Strong BA in Agile . Experience of working in an agile d...,30+ Days Ago
Scrum Master Offshore,Photon,12-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Excellent knowledge of Scrum techniques and artifacts (such as the definition of done, ...",14 Days Ago
Requirement: Technical Opportunity For Female (PAN India) Female,Airtel,2-6 Yrs,2-6.5 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Willing to Travel minimum 10-15 Square KMs for field Visit & Customer Escalation based ...,30+ Days Ago
CN - Strategy - CFO EV- Enterprise Performance Management- Sr. Manager,Accenture,12-14 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Candidate should be self-motivated with strong analytical problem solving interpersonal...,15 Days Ago
Senior Manager (L5) - IT DevOps Engineer,Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Manage the AWS infrastructure and monitor the platform to identify and resolve issues b...,16 Days Ago
"Cognizant_Azure Devops, Azure Kubernetes Services, Azure PaaS",Cognizant,10-20 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Hands-on Strong experience in Azure technologies that includes Cloud Services Web Apps,...",15 Days Ago
"Cognizant-Azure Infra with Infrastructure Automation(Terraform,ARM",Cognizant,5-10 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", 5-12 Years-PAN INDIA Role & responsibilities 6-10 Years of experience in Microsoft Azur...,15 Days Ago
Associate WM Client Reference Data,BNP Paribas,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Client On-Boarding team s goal, is to ensure a global and consistent first service is r...",30+ Days Ago
Hiring For Google Data Architect,Tech Mahindra,15-20 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Experience : 15+ Years . Consulting expertise providing data strategy, architecture adv...",17 Days Ago
Cognizant Technology is looking - EUC Architect !!,Cognizant,8-13 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Experience with end-to-end workplace services, field services, user experience manageme...",17 Days Ago
Hiring For Integration Developer-Pan India,Tech Mahindra,5-9 Yrs,8-18 Lacs PA,"Hybrid - Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Must Haves : . Years of Experience: 6+ years Notice period: 30 to 45 days, only serving...",17 Days Ago
BORN -XDS TechMahindra Company -Looking For MS Dynamics 365 Architect,Tech Mahindra,12-18 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Required Skills and Qualifications: . Bachelors Degree in IT or related functional busi...,17 Days Ago
Cognizant_MS Dynamics CRM 365_F&O Technical,Cognizant,3-8 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Role & responsibilities MS Dynamics CRM 365 -F&0 TechnicalPreferred candidate profile 3...,17 Days Ago
Sr. manager - Aggregate Business - Service Execution,Tata Motors Finance,1-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Education- Graduate in Automobile /Mechanical/ Electrical Engineering Relevant Experien...,30+ Days Ago
Senior Manager (L5)-Government Sales,Tata Motors Finance,5-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", To be responsible for the development of Sales in Zones in Government Departments & CSD...,30+ Days Ago
Network Optimization Program Manager,Medtronic,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Play a key role in the design, implementation, validation, maintenance, use cases, and ...",30+ Days Ago
Area Parts Manager - Service Network,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Here are some key responsibilities and activities typically associated with this positi...,18 Days Ago
Hiring For Integration Developer,Tech Mahindra,5-8 Yrs,9.5-19.5 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Must Haves : . Years of Experience: 5-8 years relevant Notice period: 30 to 45 days, on...",18 Days Ago
"Tech Mahindra is Hiring For ""ETL Lead""",Tech Mahindra,10-17 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Kindly go through the below JD, & submit your details on google link https://forms.gle/...",18 Days Ago
Informatica MDM Developer,Pratyin Infotech (Hiring for Big4 Client ),3-8 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Experience : 3 to 9 yrs .,19 Days Ago
Abinitio Administrator,Capgemini,3-8 Yrs,Not disclosed,"Hybrid - Kolkata, West Bengal, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)", Role & responsibilities Experience in Ab initio administration and SME Support on Ab in...,19 Days Ago
Aviation Faculty -Female Candidate,Frankfinn,10-20 Yrs,Not disclosed,"Kochi/Cochin, Kolkata, New Delhi, Hyderabad/Secunderabad, Navi Mumbai, Maharashtra, Pune, Lucknow, Ahmedabad, Bangalore/Bengaluru", We have an urgent opening for an Aviation Trainer (Female Faculty) at Frankfinn for var...,22 Days Ago
CN - Health - Japan Bilingual - Consultant,Accenture,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru"," Demonstrates good sales acumen, apply client knowledge, Accenture sales, Good analytica...",20 Days Ago
Senior Manager- Digital Marketing,Tata Motors Finance,11-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Relevant Experience : 1-12 years Experience in Advertising / Media/Marketing Communicat...,19 Days Ago
"Senior Manager - Network Security, IT Security & Controls",Tata Motors Finance,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Relevant Experience: 8 to 10 years . Job Responsibility . 1 End-to-End deployment of se...,19 Days Ago
ASIC Engineer 2,Juniper Networks,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Perform micro-architecture and logic design to deliver maximum throughput, while using ...",19 Days Ago
JavaScript Programmer,Tech Mahindra,7-12 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Location -Pan India. Work from home . IST time zoneExperience -6-8yrs.,19 Days Ago
Telecom Consultant PAN India,Tech Mahindra,8-13 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Qualifications and Education Requirements. o Min 12+ years of overall experience. o 8+ ...,19 Days Ago
Microsoft Dynamics 365 ERP Technical,Trigent Software,4-9 Yrs,5-12 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Must be fine for C2H Role. Project Role : Software Development Engineer Perform mainten...,19 Days Ago
ServiceNow Developer,Cognizant,8-13 Yrs,Not disclosed,"Hybrid - Kochi/ Cochin, Kerala, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Tamil Nadu, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Role & responsibilities ServiceNow Developer :Any Module Experience,20 Days Ago
ServiceNow Developer,Cognizant,2-7 Yrs,Not disclosed,"Hybrid - Kochi/ Cochin, Kerala, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Tamil Nadu, Coimbatore, Tamil Nadu, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Role & responsibilities :ServiceNow Developer : Any Module Experience,20 Days Ago
Senior Manager,Tata Motors Finance,2-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering Catia V5R25 With good modelling skills and expert in best model...,30+ Days Ago
Abinitio Developer,Capgemini,4-9 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Duties and responsibilities :- . Hands-on experience creating graphs to meet complex bu...,30+ Days Ago
CN - CS&S - C&S - Digital Commerce - 06,Accenture,12-14 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru", Join our team of Commerce consultants who work on Digital Commerce strategy and transfo...,21 Days Ago
Automation Engineer 2 EMCS,Schneider Electric,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," . A Bachelor s degree or equivalent in Engineering. . Specification, Design & Validatio...",21 Days Ago
N & T Radio Designer,ALSTOM India Limited,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Responsible to deliver NT Sub-System Radio specifications and architecture consistent w...,21 Days Ago
AM,BNP Paribas,7-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", 1. Perform ongoing AML/CTF risk monitoring on clients and account transactions covered ...,30+ Days Ago
Senior Manager - Territory Sales EV,Tata Motors Finance,5-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," BE / B Tech . MBA In order to achieve business objectives in terms of volumes, market s...",30+ Days Ago
Manager/Sr. Manager Lead Generation,Teleperformance (TP),6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Minimum of 6-10 years of experience in lead generation working in an Agency/ BPO . Bach...,30+ Days Ago
